,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
175,Jevon Carter,MIL,27,29,21,8,749.7,225,84,196,42.9,41,99,41.4,16,19,84.2,20,61,81,95,36,37,15,64,585,1,0,50
176,Naz Reid,MIN,23,24,11,13,375.7,225,89,161,55.3,20,55,36.4,27,44,61.4,21,75,96,19,24,11,21,52,441,1,0,-31
177,Tre Mann,OKC,21,27,11,16,537.7,225,88,231,38.1,36,125,28.8,13,20,65.0,15,54,69,43,24,21,3,40,420,0,0,9
178,Josh Richardson,SAS,29,21,8,13,488.5,224,78,189,41.3,39,106,36.8,29,34,85.3,10,40,50,61,37,16,2,36,393,1,0,-65
179,Andrew Nembhard,IND,22,26,13,13,666.1,222,86,183,47.0,36,93,38.7,14,16,87.5,10,66,76,99,37,25,5,76,515,2,0,-49
180,Jaren Jackson Jr.,MEM,23,13,9,4,330.6,222,74,147,50.3,23,62,37.1,51,67,76.1,24,58,82,7,20,11,40,37,464,2,0,92
181,Jeremiah Robinson-Earl,OKC,22,26,10,16,548.1,221,85,174,48.9,29,76,38.2,22,28,78.6,51,78,129,25,16,19,11,49,487,1,0,-37
182,Corey Kispert,WAS,23,23,7,16,650.4,219,80,163,49.1,41,99,41.4,18,24,75.0,15,42,57,37,15,13,4,38,379,0,0,-74
183,John Konchar,MEM,26,27,17,10,730.2,219,82,175,46.9,40,101,39.6,15,17,88.2,32,132,164,41,18,28,7,46,564,2,0,144
184,Al Horford,BOS,36,22,15,7,680.2,218,84,162,51.9,45,101,44.6,5,8,62.5,20,117,137,58,16,9,24,43,552,2,0,113
185,Goran Dragic,CHI,36,28,10,18,472.9,218,83,189,43.9,30,77,39.0,22,34,64.7,11,32,43,91,34,7,4,38,405,0,0,44
186,Naji Marshall,NOP,24,27,16,11,594.1,216,77,174,44.3,24,72,33.3,38,47,80.9,22,61,83,61,23,21,7,35,468,0,0,8
187,Torrey Craig,PHX,32,27,17,10,652.6,215,83,179,46.4,35,94,37.2,14,17,82.4,52,86,138,41,19,18,19,64,534,1,0,-87
188,Kevin Love,CLE,34,23,15,8,449.3,212,66,165,40.0,43,116,37.1,37,42,88.1,17,138,155,48,27,4,3,36,464,4,0,81
189,Marvin Bagley III,DET,23,19,5,14,424.4,212,89,160,55.6,7,23,30.4,27,36,75.0,42,72,114,11,19,13,14,39,427,3,0,-109
190,Steven Adams,MEM,29,26,17,9,689.3,210,93,154,60.4,0,1,0.0,24,72,33.3,122,143,265,59,54,22,32,64,725,7,0,157
191,Talen Horton-Tucker,UTA,22,29,14,15,477.7,208,79,204,38.7,20,84,23.8,30,41,73.2,15,63,78,71,36,23,11,42,474,1,0,14
192,Kevon Looney,GSW,26,31,15,16,717.2,207,88,135,65.2,0,0,0.0,31,48,64.6,78,163,241,90,11,13,19,85,716,3,0,120
193,Herbert Jones,NOP,24,20,11,9,551.5,206,71,157,45.2,17,55,30.9,47,62,75.8,24,46,70,45,21,21,14,66,442,0,0,80
194,Mike Conley,UTA,35,21,13,8,608.4,206,69,181,38.1,37,104,35.6,31,43,72.1,7,38,45,156,32,22,5,45,543,4,0,11
195,Gordon Hayward,CHA,32,13,4,9,418.8,203,73,166,44.0,19,50,38.0,38,51,74.5,10,50,60,57,32,9,4,15,368,1,0,-52
196,Mo Bamba,ORL,24,25,11,14,474.1,203,74,150,49.3,27,71,38.0,28,41,68.3,30,107,137,27,18,7,24,60,483,1,0,8
197,Jalen Duren,DET,19,29,8,21,666.9,201,85,139,61.2,0,1,0.0,31,57,54.4,91,142,233,21,33,18,24,73,605,5,0,-73
198,Sam Hauser,BOS,25,31,22,9,499.7,200,69,149,46.3,55,131,42.0,7,9,77.8,12,64,76,22,8,7,7,40,358,0,0,118
199,Daniel Gafford,WAS,24,31,11,20,444.2,197,81,110,73.6,0,0,0.0,35,59,59.3,50,83,133,14,26,11,34,53,487,3,0,-16
200,Keita Bates-Diop,SAS,26,24,6,18,454.3,197,79,147,53.7,12,34,35.3,27,34,79.4,31,41,72,20,19,16,4,19,354,0,0,-167
201,David Roddy,MEM,21,29,19,10,558.8,194,73,182,40.1,28,97,28.9,20,29,69.0,20,64,84,21,23,9,9,43,357,0,0,-72
202,Jonathan Kuminga,GSW,20,27,14,13,470.8,193,74,158,46.8,15,54,27.8,30,43,69.8,26,54,80,34,35,11,13,58,377,1,0,-80
203,Obi Toppin,NYK,24,25,12,13,428.4,192,72,171,42.1,34,97,35.1,14,17,82.4,14,80,94,26,19,10,5,28,370,0,0,6
204,Jordan Goodwin,WAS,24,24,7,17,533.7,191,74,153,48.4,19,47,40.4,24,33,72.7,30,70,100,78,26,31,14,45,537,0,0,-25
205,Isaiah Jackson,IND,20,27,13,14,436.2,190,71,129,55.0,1,6,16.7,47,68,69.1,41,76,117,28,26,14,32,64,484,2,0,8
206,Edmond Sumner,BKN,26,26,17,9,394.0,188,64,141,45.4,15,51,29.4,45,49,91.8,10,30,40,38,27,25,5,41,356,0,0,39
207,Nicolas Batum,LAC,34,32,18,14,670.0,186,64,145,44.1,45,111,40.5,13,22,59.1,30,107,137,43,22,19,23,65,519,0,0,75
208,Justise Winslow,POR,26,27,15,12,737.8,185,76,186,40.9,13,41,31.7,20,28,71.4,44,93,137,94,41,29,10,84,566,1,0,-19
209,Rui Hachimura,WAS,24,16,9,7,375.5,185,76,158,48.1,12,36,33.3,21,29,72.4,12,65,77,17,22,5,8,18,320,1,0,-74
210,Walker Kessler,UTA,21,29,15,14,497.3,185,79,106,74.5,0,0,0.0,27,46,58.7,65,110,175,17,19,6,54,62,582,4,0,39
211,Cole Anthony,ORL,22,14,6,8,370.9,183,66,149,44.3,18,54,33.3,33,38,86.8,6,56,62,55,25,12,4,46,363,0,0,-31
