,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
282,Malachi Flynn,TOR,24,18,8,10,240.3,121,43,101,42.6,24,50,48.0,11,13,84.6,7,19,26,21,11,8,1,27,200,0,0,-28
283,Lamar Stevens,CLE,25,17,12,5,404.2,118,45,102,44.1,11,33,33.3,17,21,81.0,10,60,70,9,9,8,7,25,252,1,0,15
284,Trendon Watford,POR,22,21,11,10,375.7,118,41,74,55.4,7,17,41.2,29,37,78.4,16,70,86,38,19,11,3,35,301,2,0,-41
285,DeAndre Jordan,DEN,34,24,14,10,352.7,117,50,65,76.9,1,1,100,16,34,47.1,34,96,130,21,27,3,16,40,335,1,0,-58
286,Dyson Daniels,NOP,19,21,14,7,425.8,117,44,88,50.0,14,34,41.2,15,22,68.2,13,62,75,49,18,16,5,46,326,0,0,-8
287,Nassir Little,POR,22,21,11,10,321.3,116,43,91,47.3,16,43,37.2,14,21,66.7,7,43,50,18,14,8,3,17,222,0,0,-35
288,Dalano Banton,TOR,23,22,11,11,221.6,115,44,104,42.3,13,43,30.2,14,17,82.4,9,23,32,26,13,12,12,24,251,0,0,-53
289,Justin Holiday,ATL,33,23,10,13,381.7,115,44,114,38.6,27,79,34.2,0,0,0.0,1,18,19,20,12,5,9,35,198,0,0,-54
290,Patty Mills,BKN,34,21,10,11,252.9,115,40,91,44.0,24,63,38.1,11,12,91.7,5,17,22,27,9,5,1,10,191,0,0,-24
291,Danuel House Jr.,PHI,29,23,12,11,420.3,114,38,79,48.1,16,46,34.8,22,29,75.9,4,42,46,17,13,6,5,31,215,0,0,-22
292,Christian Koloko,TOR,22,30,13,17,503.6,113,41,92,44.6,0,7,0.0,31,47,66.0,50,53,103,15,16,8,38,82,381,0,0,67
293,Luke Kornet,BOS,27,26,17,9,351.4,113,48,68,70.6,2,6,33.3,15,18,83.3,34,55,89,20,11,5,24,40,326,0,0,34
294,MarJon Beauchamp,MIL,22,18,13,5,278.7,112,40,100,40.0,18,55,32.7,14,19,73.7,18,35,53,10,20,10,2,30,207,0,0,-11
295,Montrezl Harrell,PHI,28,24,13,11,279.4,112,38,72,52.8,0,0,0.0,36,50,72.0,24,44,68,15,13,5,11,27,251,0,0,26
296,Isaiah Roby,SAS,24,24,7,17,296.3,110,43,95,45.3,14,40,35.0,10,23,43.5,11,56,67,31,17,12,6,31,274,0,0,-57
297,Amir Coffey,LAC,25,26,13,13,397.1,108,33,86,38.4,9,26,34.6,33,41,80.5,11,21,32,32,13,6,2,33,205,0,0,-75
298,Charles Bassey,SAS,22,19,4,15,294.7,108,46,67,68.7,2,6,33.3,14,22,63.6,41,71,112,28,23,7,22,46,348,0,0,-29
299,Dean Wade,CLE,26,17,12,5,409.3,108,38,84,45.2,23,56,41.1,9,13,69.2,10,59,69,17,7,12,6,42,263,0,0,83
300,James Bouknight,CHA,22,22,5,17,336.4,108,39,117,33.3,15,61,24.6,15,22,68.2,5,42,47,27,18,11,4,29,232,0,0,-23
301,Josh Okogie,PHX,24,26,15,11,273.7,108,35,88,39.8,10,40,25.0,28,37,75.7,32,41,73,25,15,16,11,37,299,1,0,63
302,Patrick Beverley,LAL,34,22,10,12,576.7,106,34,105,32.4,19,70,27.1,19,25,76.0,12,70,82,56,19,19,11,62,359,0,0,-24
303,Precious Achiuwa,TOR,23,12,7,5,244.8,105,36,92,39.1,5,28,17.9,28,33,84.8,24,60,84,16,15,2,7,19,242,2,0,-10
304,Robert Covington,LAC,32,19,7,12,308.3,105,36,95,37.9,19,60,31.7,14,17,82.4,8,61,69,23,15,10,13,40,276,0,0,-41
305,Romeo Langford,SAS,23,16,6,10,316.5,105,42,87,48.3,5,24,20.8,16,23,69.6,26,22,48,15,13,11,7,28,226,0,0,-102
306,Cameron Johnson,PHX,26,8,6,2,202.3,104,37,83,44.6,22,51,43.1,8,11,72.7,5,22,27,14,2,9,3,14,191,0,0,73
307,Markelle Fultz,ORL,24,10,6,4,263.8,104,43,95,45.3,5,12,41.7,13,16,81.3,13,22,35,47,27,14,3,27,241,0,0,-21
308,P.J. Tucker,PHI,37,28,16,12,803.1,102,38,86,44.2,19,48,39.6,7,9,77.8,35,86,121,26,25,16,8,74,333,0,0,73
309,Wenyen Gabriel,LAL,25,20,10,10,271.1,102,40,67,59.7,4,13,30.8,18,22,81.8,26,47,73,13,14,11,10,35,258,0,0,8
310,Mike Muscala,OKC,31,20,7,13,244.7,101,36,82,43.9,17,54,31.5,12,16,75.0,8,55,63,17,7,3,9,29,231,0,0,54
311,Daishen Nix,HOU,20,26,9,17,392.6,99,32,88,36.4,20,58,34.5,15,19,78.9,10,37,47,66,37,20,3,24,286,0,0,-21
312,Chuma Okeke,ORL,24,18,5,13,391.7,98,32,87,36.8,18,60,30.0,16,21,76.2,21,55,76,26,9,11,9,34,279,0,0,-74
313,Usman Garuba,HOU,20,27,9,18,400.8,92,35,64,54.7,7,13,53.8,15,28,53.6,50,83,133,29,19,23,18,47,399,0,0,-47
314,Evan Fournier,NYK,30,13,6,7,259.7,90,31,90,34.4,19,57,33.3,9,11,81.8,2,25,27,22,14,9,3,28,177,0,0,-48
315,Moses Brown,LAC,23,24,12,12,161.8,90,34,55,61.8,0,0,0.0,22,46,47.8,31,41,72,3,7,1,10,21,207,0,0,1
316,Admiral Schofield,ORL,25,20,10,10,249.1,89,33,70,47.1,16,43,37.2,7,7,100,14,20,34,14,4,4,2,42,165,0,0,-46
317,Caleb Houstan,ORL,19,21,5,16,391.6,89,29,80,36.3,20,57,35.1,11,13,84.6,15,40,55,16,6,4,2,36,191,0,0,-43
318,Jericho Sims,NYK,24,22,14,8,275.4,88,40,52,76.9,0,0,0.0,8,10,80.0,39,50,89,8,9,5,16,38,261,2,0,-29
319,Pat Connaughton,MIL,29,13,9,4,248.5,88,30,94,31.9,19,69,27.5,9,11,81.8,9,35,44,9,7,8,2,12,177,0,0,38
320,Austin Rivers,MIN,30,20,10,10,329.2,87,27,66,40.9,15,42,35.7,18,19,94.7,0,27,27,21,10,9,1,28,171,0,0,-75
321,Bismack Biyombo,PHX,30,24,15,9,319.4,87,38,66,57.6,0,0,0.0,11,28,39.3,25,60,85,20,24,6,34,45,315,1,0,42
322,JaVale McGee,DAL,34,19,9,10,171.3,87,37,61,60.7,1,4,25.0,12,22,54.5,14,35,49,4,19,3,11,24,175,0,0,-70
323,Juancho Hernangomez,TOR,27,19,8,11,359.3,87,35,70,50.0,12,38,31.6,5,11,45.5,17,63,80,15,11,10,4,26,237,1,0,1
324,Chris Duarte,IND,25,10,4,6,191.0,86,30,76,39.5,13,40,32.5,13,17,76.5,4,17,21,9,9,1,4,18,131,0,0,-16
325,Christian Braun,DEN,21,27,17,10,381.6,86,34,79,43.0,8,27,29.6,10,18,55.6,17,41,58,15,9,8,4,29,205,0,0,-74
326,Payton Pritchard,BOS,24,18,14,4,199.0,85,31,79,39.2,16,47,34.0,7,10,70.0,10,16,26,20,14,6,1,7,153,0,0,-9
327,Jake LaRavia,MEM,21,18,13,5,311.6,84,30,72,41.7,19,50,38.0,5,5,100,16,37,53,17,15,10,3,35,197,0,0,-44
328,James Wiseman,GSW,21,14,5,9,165.6,84,34,58,58.6,0,0,0.0,16,25,64.0,14,35,49,11,10,1,4,29,164,0,0,-84
329,Kevon Harris,ORL,25,23,8,15,274.5,83,26,67,38.8,9,24,37.5,22,26,84.6,21,26,47,10,15,9,1,30,169,0,0,-10
330,Vlatko Cancar,DEN,25,20,12,8,211.4,83,31,66,47.0,15,35,42.9,6,7,85.7,5,24,29,17,12,7,4,24,164,0,0,-34
331,Eugene Omoruyi,OKC,25,13,3,10,176.4,81,31,66,47.0,8,25,32.0,11,16,68.8,14,19,33,8,8,12,0,33,161,0,0,-12
332,Rudy Gay,UTA,36,18,11,7,284.3,81,33,94,35.1,11,51,21.6,4,8,50.0,11,48,59,15,12,9,9,24,216,0,0,65
333,Ty Jerome,GSW,25,15,5,10,223.7,81,28,56,50.0,10,25,40.0,15,16,93.8,1,20,21,30,7,2,1,17,153,0,0,-92
334,Malaki Branham,SAS,19,15,3,12,255.0,80,29,83,34.9,13,48,27.1,9,11,81.8,3,19,22,23,11,4,2,16,148,0,0,-53
335,Blake Griffin,BOS,33,14,9,5,222.8,79,28,55,50.9,8,23,34.8,15,21,71.4,15,44,59,18,6,3,1,30,183,0,0,28
336,Zeke Nnaji,DEN,21,20,11,9,185.2,79,33,57,57.9,3,14,21.4,10,12,83.3,18,9,27,4,9,3,3,27,126,0,0,-64
337,Khris Middleton,MIL,31,7,4,3,170.6,78,25,77,32.5,11,41,26.8,17,19,89.5,1,17,18,31,11,4,1,18,150,0,0,-12
338,Simone Fontecchio,UTA,27,17,10,7,167.4,78,26,63,41.3,17,44,38.6,9,14,64.3,10,14,24,8,10,2,4,14,127,0,0,-60
339,Furkan Korkmaz,PHI,25,16,10,6,200.0,76,24,62,38.7,10,30,33.3,18,25,72.0,4,19,23,15,12,4,2,8,132,0,0,-7
340,Anthony Gill,WAS,30,26,8,18,290.2,75,30,53,56.6,2,14,14.3,13,15,86.7,15,25,40,13,5,5,5,35,168,0,0,-19
341,Paul Reed,PHI,23,25,15,10,267.6,74,33,61,54.1,0,3,0.0,8,12,66.7,32,56,88,12,16,21,16,56,293,2,0,-49
342,Jordan McLaughlin,MIN,26,18,10,8,287.0,73,28,66,42.4,8,34,23.5,9,9,100,7,23,30,65,14,15,2,7,244,0,0,86
343,Nikola Jovic,MIA,19,12,5,7,183.7,73,24,60,40.0,7,30,23.3,18,19,94.7,8,20,28,10,10,7,1,15,136,0,0,-18
344,Haywood Highsmith,MIA,26,20,10,10,379.4,72,27,83,32.5,13,42,31.0,5,14,35.7,21,62,83,16,13,16,7,25,252,1,0,-38
345,Markieff Morris,BKN,33,18,13,5,204.4,70,24,56,42.9,16,35,45.7,6,6,100,9,34,43,17,11,6,4,21,166,1,0,32
346,Brandon Boston Jr.,LAC,21,13,5,8,124.3,69,23,61,37.7,8,18,44.4,15,19,78.9,3,10,13,9,5,3,0,9,102,0,0,-15
347,Duane Washington Jr.,PHX,22,15,12,3,134.9,69,29,77,37.7,11,39,28.2,0,2,0.0,0,9,9,11,9,1,1,7,93,0,0,-7
348,Wesley Matthews,MIL,36,21,15,6,311.1,68,22,65,33.8,17,52,32.7,7,8,87.5,16,20,36,11,7,11,4,31,166,0,0,10
349,Keon Johnson,POR,20,11,6,5,152.0,67,26,67,38.8,12,36,33.3,3,8,37.5,3,19,22,15,19,5,2,13,118,0,0,-22
350,Kai Jones,CHA,21,21,6,15,213.5,63,26,53,49.1,3,11,27.3,8,11,72.7,19,30,49,5,9,5,10,30,165,0,0,14
351,Robin Lopez,CLE,34,20,14,6,179.2,63,27,41,65.9,0,0,0.0,9,12,75.0,17,11,28,9,13,1,3,23,109,0,0,-16
352,Gary Harris,ORL,28,6,1,5,154.6,62,23,48,47.9,10,23,43.5,6,6,100,5,11,16,12,9,4,2,13,108,0,0,-35
353,Serge Ibaka,MIL,33,15,11,4,169.7,62,24,47,51.1,6,15,40.0,8,13,61.5,13,29,42,4,8,0,6,20,128,0,0,-17
354,Day'Ron Sharpe,BKN,21,17,9,8,151.5,61,23,45,51.1,3,4,75.0,12,17,70.6,22,35,57,10,12,3,10,30,171,1,0,-34
355,Ousmane Dieng,OKC,19,14,6,8,219.6,61,25,59,42.4,10,34,29.4,1,4,25.0,6,34,40,20,7,5,4,12,159,0,0,15
356,Willy Hernangomez,NOP,28,12,9,3,106.4,61,20,40,50.0,1,5,20.0,20,24,83.3,15,26,41,7,12,4,2,10,127,0,0,4
357,Goga Bitadze,IND,23,16,7,9,158.3,58,23,42,54.8,3,12,25.0,9,18,50.0,16,21,37,16,10,6,9,28,161,1,0,-12
358,Xavier Tillman,MEM,23,15,10,5,162.3,58,25,42,59.5,2,6,33.3,6,14,42.9,17,19,36,8,7,6,7,16,145,0,0,-40
359,Bryn Forbes,MIN,29,16,7,9,167.9,57,21,60,35.0,8,31,25.8,7,7,100,3,5,8,11,6,7,0,11,98,0,0,-17
360,Matisse Thybulle,PHI,25,24,14,10,298.2,57,22,56,39.3,10,33,30.3,3,6,50.0,8,22,30,9,5,20,6,33,180,0,0,58
361,Bruno Fernando,HOU,24,12,5,7,143.0,56,23,37,62.2,0,1,0.0,10,16,62.5,22,29,51,15,7,4,10,27,175,0,0,3
362,T.J. Warren,BKN,29,7,6,1,111.7,56,25,44,56.8,1,7,14.3,5,6,83.3,7,8,15,9,2,4,1,12,101,0,0,17
363,Raul Neto,CLE,30,20,14,6,175.2,55,20,42,47.6,5,17,29.4,10,12,83.3,2,13,15,22,6,7,0,14,121,0,0,4
364,Bryce McGowens,CHA,20,13,3,10,186.1,53,18,45,40.0,6,16,37.5,11,12,91.7,3,15,18,13,6,4,4,7,112,0,0,-41
365,Dario Saric,PHX,28,14,5,9,167.9,53,19,55,34.5,8,25,32.0,7,9,77.8,16,32,48,15,9,3,2,23,139,0,0,29
366,Miles McBride,NYK,22,18,11,7,194.3,53,20,54,37.0,8,33,24.2,5,9,55.6,5,10,15,26,7,12,0,16,139,0,0,50
367,Davon Reed,DEN,27,20,11,9,217.6,52,16,54,29.6,11,31,35.5,9,12,75.0,5,25,30,11,12,5,2,24,114,0,0,-35
368,Josh Christopher,HOU,21,18,4,14,126.1,52,22,50,44.0,3,14,21.4,5,6,83.3,5,15,20,11,12,5,1,13,99,0,0,-55
369,Matt Ryan,MIN,25,16,7,9,144.5,50,16,53,30.2,14,39,35.9,4,5,80.0,2,12,14,6,3,3,0,14,82,0,0,18
370,Richaun Holmes,SAC,29,16,8,8,140.3,50,22,32,68.8,2,3,66.7,4,6,66.7,9,20,29,1,5,2,1,21,90,0,0,-34
371,Victor Oladipo,MIA,30,6,4,2,146.4,50,19,44,43.2,7,24,29.2,5,9,55.6,1,16,17,17,7,9,0,15,116,0,0,3
372,Gorgui Dieng,SAS,32,12,2,10,141.1,48,18,44,40.9,9,31,29.0,3,4,75.0,12,27,39,22,12,1,5,22,134,0,0,-37
373,Damian Jones,LAL,27,15,5,10,136.7,47,18,32,56.3,0,2,0.0,11,14,78.6,15,27,42,4,8,2,8,14,125,1,0,-33
374,Max Christie,LAL,19,13,5,8,164.9,47,16,39,41.0,12,27,44.4,3,4,75.0,3,29,32,5,3,3,2,7,105,0,0,18
375,Frank Kaminsky,ATL,29,13,5,8,109.2,46,15,26,57.7,8,16,50.0,8,8,100,1,22,23,14,5,2,0,15,96,0,0,3
376,Kemba Walker,DAL,32,3,1,2,74.5,46,16,35,45.7,5,17,29.4,9,12,75.0,2,8,10,14,3,0,2,6,82,0,0,8
377,Taj Gibson,WAS,37,18,4,14,125.5,46,16,38,42.1,3,11,27.3,11,14,78.6,8,15,23,7,6,6,3,23,105,0,0,1
378,JT Thor,CHA,20,19,3,16,189.0,44,15,49,30.6,5,27,18.5,9,11,81.8,9,24,33,10,12,6,5,12,120,0,0,9
379,Jarrett Culver,ATL,23,10,5,5,136.9,44,17,43,39.5,1,12,8.3,9,13,69.2,10,28,38,6,7,6,2,14,116,0,0,-19
380,Otto Porter Jr.,TOR,29,8,4,4,146.3,44,15,30,50.0,6,17,35.3,8,8,100,6,13,19,8,4,11,0,7,108,0,0,-21
381,David Duke Jr.,BKN,23,14,7,7,126.0,42,19,43,44.2,0,6,0.0,4,8,50.0,6,9,15,12,13,5,1,23,83,0,0,-31
382,Ish Wainright,PHX,28,13,9,4,147.8,42,14,32,43.8,12,27,44.4,2,3,66.7,10,12,22,11,3,6,3,16,109,0,0,40
383,Trent Forrest,ATL,24,13,5,8,195.7,42,20,42,47.6,0,2,0.0,2,3,66.7,5,19,24,26,7,6,2,14,127,0,0,-34
384,Kennedy Chandler,MEM,20,13,7,6,145.1,41,18,48,37.5,2,12,16.7,3,7,42.9,3,19,22,33,13,8,4,7,140,0,0,-13
385,Ochai Agbaji,UTA,22,13,9,4,115.1,40,16,37,43.2,4,17,23.5,4,9,44.4,6,10,16,2,0,1,0,12,65,0,0,-14
386,Ish Smith,DEN,34,12,6,6,124.4,39,18,44,40.9,2,6,33.3,1,2,50.0,1,13,14,25,13,3,6,9,107,0,0,-3
387,Khem Birch,TOR,30,17,9,8,124.5,39,17,28,60.7,1,2,50.0,4,5,80.0,8,10,18,5,5,5,4,20,90,0,0,0
388,Nathan Knight,MIN,25,13,6,7,68.2,39,14,18,77.8,1,3,33.3,10,13,76.9,4,10,14,3,7,3,1,6,65,0,0,-21
389,AJ Green,MIL,23,12,11,1,69.3,38,13,24,54.2,9,19,47.4,3,3,100,2,6,8,4,2,1,0,11,55,0,0,-15
390,Jaden Hardy,DAL,20,9,4,5,64.0,38,14,40,35.0,1,12,8.3,9,9,100,0,8,8,3,3,1,2,9,58,0,0,-37
391,Davis Bertans,DAL,30,11,4,7,82.7,36,11,31,35.5,9,25,36.0,5,6,83.3,2,6,8,4,3,1,0,13,52,0,0,-31
392,Jamal Cain,MIA,23,8,4,4,93.0,35,15,28,53.6,1,6,16.7,4,6,66.7,7,12,19,5,2,5,0,10,78,0,0,-18
393,KZ Okpala,SAC,23,18,8,10,154.2,34,12,25,48.0,4,11,36.4,6,6,100,6,18,24,9,3,3,4,23,94,0,0,-12
394,Sandro Mamukelashvili,MIL,23,13,10,3,113.1,34,12,31,38.7,5,16,31.3,5,10,50.0,9,22,31,9,4,1,2,10,90,0,0,25
395,Moussa Diabate,LAC,20,8,3,5,90.3,33,13,24,54.2,0,0,0.0,7,9,77.8,20,12,32,2,5,3,1,10,81,0,0,4
396,Lindy Waters III,OKC,25,7,2,5,97.9,32,11,28,39.3,10,26,38.5,0,0,0.0,2,10,12,4,2,4,0,9,62,0,0,53
397,Jabari Walker,POR,20,17,10,7,130.7,31,12,32,37.5,3,11,27.3,4,6,66.7,9,23,32,10,5,1,3,15,91,0,0,17
398,Juan Toscano-Anderson,LAL,29,14,3,11,145.5,31,12,28,42.9,2,11,18.2,5,7,71.4,1,24,25,8,9,3,3,19,82,0,0,-30
399,Garrett Temple,NOP,36,10,7,3,76.5,29,10,23,43.5,6,14,42.9,3,4,75.0,2,6,8,4,3,6,1,6,63,0,0,-23
400,Jordan Hall,SAS,20,9,1,8,82.7,28,9,28,32.1,3,15,20.0,7,9,77.8,3,9,12,11,7,1,0,6,55,0,0,-24
401,Joshua Primo,SAS,19,4,3,1,93.4,28,9,26,34.6,3,12,25.0,7,9,77.8,2,11,13,18,11,1,2,8,69,0,0,-2
402,Terry Taylor,IND,23,16,7,9,128.4,28,11,31,35.5,2,10,20.0,4,5,80.0,9,13,22,6,4,2,4,13,77,0,0,-19
403,Delon Wright,WAS,30,4,3,1,90.8,26,10,24,41.7,3,12,25.0,3,5,60.0,4,6,10,13,4,11,4,5,99,0,0,-27
404,Frank Ntilikina,DAL,24,12,5,7,143.7,26,9,34,26.5,4,20,20.0,4,7,57.1,2,16,18,18,5,3,2,18,85,0,0,-1
405,Wendell Moore Jr.,MIN,21,13,7,6,86.0,26,10,24,41.7,2,11,18.2,4,5,80.0,1,10,11,8,6,5,3,8,69,0,0,-28
406,Jae'Sean Tate,HOU,27,3,0,3,68.1,25,10,20,50.0,2,5,40.0,3,4,75.0,8,5,13,10,5,3,0,15,60,0,0,-10
407,Noah Vonleh,BOS,27,19,15,4,159.7,25,11,24,45.8,1,4,25.0,2,2,100,17,29,46,6,11,2,8,34,108,0,0,-13
408,Orlando Robinson,MIA,22,4,2,2,80.1,25,10,21,47.6,0,5,0.0,5,7,71.4,3,13,16,5,3,5,3,9,73,0,0,13
409,Mamadi Diakite,CLE,25,11,7,4,82.7,24,10,21,47.6,4,12,33.3,0,0,0.0,3,8,11,2,5,2,5,11,56,0,0,13
410,Vit Krejci,ATL,22,14,7,7,98.1,24,9,24,37.5,5,16,31.3,1,2,50.0,2,8,10,10,3,2,1,10,57,0,0,3
411,Ziaire Williams,MEM,21,5,4,1,91.4,23,10,33,30.3,1,16,6.3,2,2,100,2,19,21,8,6,3,2,6,69,0,0,0
412,Jaylin Williams,OKC,20,7,2,5,60.7,21,8,18,44.4,1,5,20.0,4,6,66.7,6,10,16,7,2,3,0,10,58,0,0,15
413,Jeff Dowtin Jr.,TOR,25,9,6,3,66.8,20,9,18,50.0,1,4,25.0,1,1,100,4,6,10,8,1,0,1,4,46,0,0,0
414,Udoka Azubuike,UTA,23,12,7,5,47.4,20,9,10,90.0,0,0,0.0,2,6,33.3,6,13,19,3,3,2,3,3,59,0,0,7
415,Boban Marjanovic,HOU,34,9,1,8,34.2,19,6,10,60.0,0,1,0.0,7,9,77.8,1,8,9,1,2,1,1,1,35,0,0,24
416,Greg Brown III,POR,21,9,5,4,66.2,19,8,19,42.1,1,5,20.0,2,8,25.0,2,9,11,0,5,4,5,8,54,0,0,-1
417,Matthew Dellavedova,SAC,32,13,7,6,98.1,18,7,23,30.4,3,10,30.0,1,3,33.3,1,4,5,20,6,6,0,12,66,0,0,-32
418,Patrick Baldwin Jr.,GSW,20,7,2,5,36.0,17,6,14,42.9,4,12,33.3,1,2,50.0,0,7,7,1,2,3,0,0,34,0,0,-40
419,Rodney McGruder,DET,31,9,0,9,82.8,17,5,22,22.7,3,16,18.8,4,4,100,6,10,16,7,3,0,0,3,44,0,0,12
420,Ryan Rollins,GSW,20,9,5,4,46.2,17,5,16,31.3,3,8,37.5,4,4,100,2,7,9,3,13,0,1,9,22,0,0,-38
421,Blake Wesley,SAS,19,2,2,0,23.5,16,6,9,66.7,2,3,66.7,2,4,50.0,1,1,2,4,2,0,0,3,22,0,0,-10
422,Svi Mykhailiuk,NYK,25,10,6,4,32.0,16,5,10,50.0,5,8,62.5,1,3,33.3,0,7,7,0,2,1,0,1,25,0,0,13
423,Kenneth Lofton Jr.,MEM,20,5,3,2,22.8,15,7,14,50.0,0,1,0.0,1,3,33.3,1,3,4,4,1,0,0,3,25,0,0,-20
424,Kessler Edwards,BKN,22,13,5,8,74.0,15,6,22,27.3,2,11,18.2,1,2,50.0,6,8,14,2,4,3,1,3,43,0,0,8
425,Robert Williams III,BOS,25,2,0,2,35.1,15,7,9,77.8,0,0,0.0,1,2,50.0,3,7,10,2,1,1,3,4,41,0,0,-10
426,Jason Preston,LAC,23,5,1,4,43.6,14,6,16,37.5,2,8,25.0,0,2,0.0,1,4,5,8,4,0,0,4,28,0,0,-19
427,James Johnson,IND,35,7,4,3,62.1,13,6,16,37.5,1,7,14.3,0,0,0.0,0,8,8,5,2,1,2,16,37,0,0,6
428,Luka Garza,MIN,23,5,3,2,21.9,13,5,8,62.5,0,2,0.0,3,4,75.0,2,5,7,3,1,0,0,3,25,0,0,-3
429,Dalen Terry,CHI,20,11,5,6,36.5,12,4,12,33.3,1,4,25.0,3,4,75.0,0,2,2,7,4,1,2,3,30,0,0,7
430,Tony Bradley,CHI,24,9,3,6,25.2,12,4,7,57.1,2,4,50.0,2,2,100,1,9,10,1,1,1,0,1,28,0,0,7
431,Alex Len,SAC,29,8,6,2,24.7,11,5,9,55.6,0,0,0.0,1,2,50.0,3,6,9,2,0,0,0,3,25,0,0,-13
432,Dru Smith,MIA,24,5,4,1,66.9,11,5,14,35.7,1,6,16.7,0,0,0.0,1,8,9,5,1,4,3,10,49,0,0,-17
433,Mark Williams,CHA,21,3,2,1,12.9,11,4,7,57.1,0,0,0.0,3,3,100,4,4,8,0,2,0,0,3,19,0,0,4
434,Nerlens Noel,DET,28,6,0,6,62.0,11,4,13,30.8,0,0,0.0,3,4,75.0,3,16,19,3,3,5,2,9,56,0,0,-9
435,TyTy Washington Jr.,HOU,21,4,0,4,36.4,11,5,10,50.0,0,4,0.0,1,2,50.0,1,5,6,7,0,1,0,4,32,0,0,16
436,Tyrese Martin,ATL,23,9,5,4,35.5,11,5,14,35.7,1,5,20.0,0,0,0.0,2,3,5,0,0,1,0,1,20,0,0,-3
437,Dominick Barlow,SAS,19,4,0,4,25.6,10,3,7,42.9,0,3,0.0,4,4,100,2,1,3,3,0,1,0,3,21,0,0,-8
438,Facundo Campazzo,DAL,31,8,2,6,52.2,10,3,13,23.1,3,11,27.3,1,2,50.0,0,2,2,9,3,6,0,3,41,0,0,11
439,Jaxson Hayes,NOP,22,10,5,5,73.2,10,3,17,17.6,0,9,0.0,4,7,57.1,3,14,17,5,4,3,1,6,46,0,0,-11
440,Josh Minott,MIN,20,4,1,3,12.9,10,3,4,75.0,0,0,0.0,4,4,100,2,1,3,2,0,1,1,1,23,0,0,24
441,Isaiah Mobley,CLE,23,8,5,3,26.1,9,4,8,50.0,1,2,50.0,0,0,0.0,1,10,11,0,0,1,0,2,25,0,0,25
442,Johnny Davis,WAS,20,8,3,5,45.2,9,3,11,27.3,0,2,0.0,3,3,100,1,4,5,2,1,0,1,12,20,0,0,-38
443,Kendall Brown,IND,19,6,1,5,40.3,9,4,7,57.1,0,1,0.0,1,2,50.0,2,4,6,3,2,4,0,9,31,0,0,4
444,Tyler Dorsey,DAL,26,2,1,1,6.8,9,4,5,80.0,1,2,50.0,0,0,0.0,1,1,2,0,0,0,0,0,11,0,0,6
445,Alize Johnson,SAS,26,4,1,3,29.5,7,3,6,50.0,0,2,0.0,1,2,50.0,2,8,10,1,4,1,0,3,20,0,0,12
446,Thanasis Antetokounmpo,MIL,30,15,11,4,66.3,7,3,6,50.0,0,1,0.0,1,2,50.0,4,10,14,3,5,0,3,4,32,0,0,-19
447,Vince Williams Jr.,MEM,22,6,3,3,39.6,7,3,11,27.3,1,8,12.5,0,0,0.0,1,4,5,2,0,4,1,5,31,0,0,-11
448,Justin Champagnie,TOR,21,3,2,1,10.9,6,3,3,100,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,1,12,0,0,-2
449,Justin Jackson,BOS,27,12,9,3,61.6,6,2,13,15.4,2,11,18.2,0,0,0.0,0,7,7,4,1,2,2,3,31,0,0,-53
450,Peyton Watson,DEN,20,6,3,3,15.1,6,3,9,33.3,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,1,10,0,0,-19
451,Ron Harper Jr.,TOR,22,2,1,1,7.8,6,2,4,50.0,2,3,66.7,0,0,0.0,0,1,1,0,0,0,0,0,7,0,0,5
452,Saben Lee,PHI,23,2,1,1,10.1,6,3,4,75.0,0,1,0.0,0,0,0.0,0,0,0,2,3,1,0,1,9,0,0,5
453,Theo Pinson,DAL,27,11,5,6,45.2,6,1,10,10.0,0,6,0.0,4,4,100,0,12,12,3,3,1,0,1,25,0,0,-13
454,Jaden Springer,PHI,20,4,4,0,11.5,5,2,5,40.0,0,0,0.0,1,2,50.0,1,2,3,0,1,0,2,2,14,0,0,-6
455,Braxton Key,DET,25,3,0,3,9.1,4,1,1,100,0,0,0.0,2,2,100,0,1,1,0,0,0,0,0,5,0,0,-3
456,Kira Lewis Jr.,NOP,21,1,0,1,6.1,4,1,4,25.0,0,1,0.0,2,2,100,0,1,1,0,0,0,0,1,5,0,0,2
457,Leandro Bolmaro,UTA,22,7,4,3,46.4,4,2,10,20.0,0,2,0.0,0,0,0.0,2,1,3,6,3,2,1,4,23,0,0,16
458,Micah Potter,UTA,24,2,1,1,11.8,4,2,2,100,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,2,9,0,0,8
459,Devon Dotson,WAS,23,5,1,4,49.9,3,1,10,10.0,1,4,25.0,0,0,0.0,6,4,10,7,3,4,0,9,35,0,0,-11
460,Jordan Schakel,WAS,24,2,0,2,6.2,3,1,2,50.0,1,1,100,0,0,0.0,0,0,0,1,0,1,0,1,8,0,0,6
461,Scotty Pippen Jr.,LAL,22,2,0,2,8.3,3,0,2,0.0,0,0,0.0,3,4,75.0,1,1,2,0,1,0,0,2,4,0,0,3
